pl_name,hostname,pl_rade,ra
AU Mic d,AU Mic,1.02,311.2911369
BD+20 2457 b,BD+20 2457,12.1,154.186782
BD+37 3172 b,BD+37 3172,12.4,278.8155071
BD+45 564 b,BD+45 564,13.6,32.9470485
BD+49 828 b,BD+49 828,13.5,45.6406187
BD+55 362 b,BD+55 362,14.0,23.9636676
BD-17 63 b,BD-17 63,12.8,7.1413494
Barnard d,Barnard's star,0.694,269.4486144
CD-35 2722 b,CD-35 2722,17.37392009,92.3300147
COCONUTS-2 b,COCONUTS-2 A,12.44196858,117.300914
CoRoT-13 b,CoRoT-13,9.92,102.7211432
CoRoT-25 b,CoRoT-25,12.11,280.6296561
CoRoT-28 b,CoRoT-28,10.704595,278.6883216
CoRoT-5 b,CoRoT-5,15.558,101.2772396
CoRoT-7 d,CoRoT-7,4.31,100.9561682
DMPP-3 A b,DMPP-3 A,1.41,91.624382
EPIC 201595106 b,EPIC 201595106,1.565,183.7203635
EPIC 206024342 b,EPIC 206024342,1.7,331.2771441
EPIC 212624936 c,EPIC 212624936,2.3,210.6376171
EPIC 249893012 d,EPIC 249893012,3.94,228.2482353
GJ 1061 b,GJ 1061,1.1,54.0032486
GJ 143 b,GJ 143,2.61,51.7501882
GJ 15 A b,GJ 15 A,1.55,4.6126677
GJ 163 c,GJ 163,2.5,62.3228353
GJ 180 c,GJ 180,2.41,73.460097
GJ 2056 b,GJ 2056,4.17,108.0194945
GJ 3021 b,GJ 3021,13.1,4.0634323
GJ 317 c,GJ 317,13.6,130.2445254
GJ 3473 b,GJ 3473,1.264,120.5936065
GJ 367 b,GJ 367,0.699,146.121464
GJ 3929 c,GJ 3929,2.26,239.5775678
GJ 422 b,GJ 422,3.33,168.9810458
GJ 667 C g,GJ 667 C,1.99,259.7510609
GJ 676 A d,GJ 676 A,1.78,262.5448903
GJ 806 b,GJ 806,1.331,311.2697002
GJ 876 d,GJ 876,2.51,343.3239737
GJ 9714 b,GJ 9714,12.5,315.4141767
GJ 9773 b,GJ 9773,14.2,333.1502333
GPX-1 b,GPX-1,16.47720163,38.3691648
Gaia-4 b,Gaia-4,12.4,209.5063762
Gl 378 b,Gl 378,3.66,150.5865513
HAT-P-17 c,HAT-P-17,13.1,324.5359781
HAT-P-20 b,HAT-P-20,9.718,111.9164295
HAT-P-34 b,HAT-P-34,13.417173,303.1954355
HAT-P-37 b,HAT-P-37,13.204,284.2960393
HAT-P-40 b,HAT-P-40,17.03768,335.5129199
HAT-P-44 b,HAT-P-44,13.922,213.1438604
HAT-P-51 b,HAT-P-51,13.50682174,21.0651251
HAT-P-54 b,HAT-P-54,10.581296,99.8979924
HAT-P-56 b,HAT-P-56,16.92559,100.8480137
HAT-P-62 b,HAT-P-62,12.02723629,74.5043816
HATS-18 b,HATS-18,14.896761,173.9574203
HATS-24 b,HATS-24,15.636555,268.8907069
HATS-29 b,HATS-29,14.022459,285.0965172
HATS-42 b,HATS-42,15.6926,108.4523991
HATS-44 b,HATS-44,11.960003,84.3267559
HATS-57 b,HATS-57,12.767051,60.9482779
HATS-63 b,HATS-63,13.529263,67.418582
HATS-64 b,HATS-64,18.819911,144.2876092
HD 102365 b,HD 102365,4.14,176.6208003
HD 104067 c,HD 104067,3.69,179.7923543
HD 105618 b,HD 105618,5.44,182.4021288
HD 105618 c,HD 105618,11.9,182.4021288
HD 108341 b,HD 108341,13.3,186.8791724
HD 109246 b,HD 109246,13.9,188.027184
HD 109833 b,HD 109833,2.888,189.7758591
HD 110067 d,HD 110067,2.852,189.8392243
HD 110113 c,HD 110113,2.11384817,190.0365636
HD 11112 b,HD 11112,12.6,27.0881399
HD 111232 c,HD 111232,12.2,192.2159553
HD 113538 b,HD 113538,13.2,196.233933
HD 113996 b,HD 113996,12.7,196.794874
HD 114386 b,HD 114386,13.7,197.6652124
HD 114783 b,HD 114783,13.7,198.1818436
HD 115404 A b,HD 115404 A,6.09,199.2155793
HD 118203 b,HD 118203,12.778238,203.509956
HD 11977 b,HD 11977,12.7,28.7347403
HD 12235 b,HD 12235,3.23,30.0391601
HD 12661 c,HD 12661,13.2,31.1423525
HD 136925 b,HD 136925,13.9,230.7157509
HD 140901 b,HD 140901,4.07,236.8689866
HD 142245 b,HD 142245,13.1,238.2342443
HD 145934 b,HD 145934,13.4,243.2912249
HD 147018 c,HD 147018,12.7,245.7490012
HD 14787 b,HD 14787,13.7,35.8085099
HD 147873 b,HD 147873,12.8,246.4380471
HD 150010 b,HD 150010,13.3,247.8670682
HD 158259 e,HD 158259,2.34,261.3495847
HD 15906 b,HD 15906,2.24,38.2712534
HD 159243 c,HD 159243,13.4,263.3395365
HD 159868 b,HD 159868,13.3,264.7466665
HD 162020 b,HD 162020,12.5,267.6599252
HD 165131 b,HD 165131,12.1,271.3444007
HD 168443 b,HD 168443,12.6,275.0159879
HD 168443 c,HD 168443,12.2,275.0159879
HD 169830 c,HD 169830,12.6,276.9561859
HD 180053 b,HD 180053,13.3,288.4008374
HD 181342 b,HD 181342,13.2,290.2674078
HD 181433 d,HD 181433,13.2,291.2873731
HD 183263 b,HD 183263,13.1,292.1022982
HD 184010 b,HD 184010,12.1,292.8401421
HD 18599 b,HD 18599,2.6,44.2620144
HD 187085 b,HD 187085,13.9,297.3915731
HD 189567 b,HD 189567,2.85,301.3959616
HD 189567 c,HD 189567,2.54,301.3959616
HD 190360 b,HD 190360,13.4,300.9092476
HD 191939 e,HD 191939,13.0,302.0256247
HD 192310 b,HD 192310,4.27,303.8284712
HD 194490 b,HD 194490,12.4,306.9980087
HD 196067 c,HD 196067,3.21,310.4364195
HD 19994 b,HD 19994,13.6,48.1943193
HD 204313 e,HD 204313,12.2,322.0510568
HD 206255 b,HD 206255,6.47,325.5917768
HD 207832 c,HD 207832,14.0,328.1517893
HD 20794 e,HD 20794,2.03,49.9997666
HD 210277 b,HD 210277,13.6,332.3748117
HD 211810 b,HD 211810,14.0,334.5286724
HD 213240 b,HD 213240,12.8,337.7506266
HD 216536 b,HD 216536,13.8,343.2665641
HD 217786 b,HD 217786,12.3,345.7838088
HD 219134 b,HD 219134,1.602,348.3372026
HD 219134 h,HD 219134,12.7,348.3372026
HD 219139 b,HD 219139,14.0,348.3604055
HD 220197 b,HD 220197,9.32,350.4946927
HD 23472 d,HD 23472,0.75,55.4590314
HD 23596 b,HD 23596,12.4,57.0018601
HD 28185 b,HD 28185,12.8,66.6100461
HD 285507 b,HD 285507,13.8,61.755663
HD 285968 b,HD 285968,2.83,70.7353853
HD 30856 b,HD 30856,13.5,72.5745099
HD 31527 d,HD 31527,3.46,73.9096193
HD 35759 b,HD 35759,13.0,82.8886636
HD 40307 g,HD 40307,2.56,88.5172191
HD 40956 b,HD 40956,13.2,91.6628015
HD 4313 b,HD 4313,13.4,11.4181301
HD 43691 b,HD 43691,13.2,94.8946124
HD 45364 b,HD 45364,9.03,96.4105736
HD 46375 b,HD 46375,10.0,98.3030763
HD 5891 b,HD 5891,12.6,15.1383168
HD 60532 c,HD 60532,13.3,113.5130656
HD 62509 b,HD 62509,13.3,116.328824
HD 63433 c,HD 63433,2.692,117.4793699
HD 63935 c,HD 63935,3.06451296,117.9246417
HD 68402 b,HD 68402,12.6,121.3474609
HD 68988 c,HD 68988,12.2,124.5935429
HD 73344 b,HD 73344,2.884,129.6894456
HD 73344 d,HD 73344,13.2,129.6894456
HD 73534 b,HD 73534,13.7,129.8153421
HD 74698 b,HD 74698,5.12,130.0744755
HD 75898 b,HD 75898,13.2,133.4611999
HD 7924 c,HD 7924,,20.4956562
HD 80653 b,HD 80653,1.613,140.3390845
HD 80883 b,HD 80883,12.8,139.9331831
HD 80913 b,HD 80913,12.0,138.1021548
HD 86264 b,HD 86264,12.5,149.2409308
HD 93083 b,HD 93083,13.4,161.0866672
HD 93351 c,HD 93351,12.3,161.6779279
HD 93963 A b,HD 93963 A,1.46954368,162.7766969
HD 97048 b,HD 97048,13.3,167.0133422
HD 98736 b,HD 98736,13.3,170.4549045
HIP 109600 b,HIP 109600,13.2,333.027079
HIP 111909 b,HIP 111909,13.7,340.0304354
HIP 114933 b,HIP 114933,13.4,349.2071949
HIP 21152 b,HIP 21152,12.0,68.0205209
HIP 39017 b,HIP 39017,12.0,119.7665756
HIP 56640 b,HIP 56640,12.7,174.2008941
HIP 57274 d,HIP 57274,14.2,176.1705487
HIP 67537 b,HIP 67537,12.3,207.5808445
HIP 94235 b,HIP 94235,3.0,287.7411441
HIP 97166 b,HIP 97166,2.4801338,296.2446203
HIP 99770 b,HIP 99770,12.2,303.6338344
HN Lib b,HN Lib,2.2,218.5684823
HU Aqr AB c,HU Aqr,12.9,316.9921976
K2-108 b,K2-108,5.33,123.3818484
K2-110 b,K2-110,2.592,207.3497402
K2-113 b,K2-113,12.14,19.4493823
K2-118 b,K2-118,2.54,132.1268608
K2-124 b,K2-124,2.9,133.6410515
K2-128 b,K2-128,1.42,204.4376666
K2-138 d,K2-138,2.39,348.9490311
K2-141 b,K2-141,1.51,350.9170464
K2-146 c,K2-146,2.19,130.0266951
K2-148 c,K2-148,1.73,14.5176494
K2-151 b,K2-151,1.49,19.3047733
K2-154 c,K2-154,2.07,189.0015173
K2-155 c,K2-155,2.6,65.469614
K2-155 d,K2-155,1.9,65.469614
K2-157 c,K2-157,6.08,183.7514959
K2-159 b,K2-159,2.26,180.5408896
K2-162 b,K2-162,1.44,186.0383865
K2-166 b,K2-166,2.19,185.1880932
K2-170 c,K2-170,1.8017647,335.4506923
K2-172 b,K2-172,1.66608079,335.3081368
K2-172 c,K2-172,3.20569097,335.3081368
K2-183 d,K2-183,2.3,125.007177
K2-185 b,K2-185,1.15,130.2596625
K2-188 b,K2-188,1.35,129.8137008
K2-192 b,K2-192,1.52,206.5823122
K2-193 b,K2-193,3.95,205.2371043
K2-198 b,K2-198,4.189,198.8436817
K2-207 b,K2-207,2.60585269,11.6996481
K2-22 b,K2-22,2.3,169.4827046
K2-229 b,K2-229,1.0,186.8729195
K2-231 b,K2-231,2.5,289.0918242
K2-232 b,K2-232,11.209,73.7667927
K2-233 b,K2-233,1.315,230.4799011
K2-24 c,K2-24,7.5,242.5734559
K2-242 b,K2-242,2.54,179.8358421
K2-264 c,K2-264,2.668,131.3583524
K2-266 c,K2-266,0.705,157.9356855
K2-273 b,K2-273,3.05,129.7768928
K2-276 b,K2-276,3.77,125.9528309
K2-278 b,K2-278,2.98,203.3018653
K2-28 b,K2-28,2.32,335.6233145
K2-289 b,K2-289,9.1,246.6429443
K2-317 b,K2-317,2.93,228.6188638
K2-32 e,K2-32,1.212,252.426008
K2-33 b,K2-33,5.04,242.5613635
K2-338 b,K2-338,1.03,124.3609294
K2-341 b,K2-341,3.21,130.4971951
K2-35 b,K2-35,1.32,170.1031027
K2-357 b,K2-357,3.72,131.9386628
K2-36 c,K2-36,3.2,169.4490102
K2-37 b,K2-37,1.39,243.4509662
K2-376 b,K2-376,1.736,132.7193327
K2-377 b,K2-377,1.693,202.897887
K2-380 b,K2-380,2.729,283.4346389
K2-384 b,K2-384,1.076,20.4998403
K2-390 b,K2-390,4.662,355.702386
K2-392 b,K2-392,1.85,354.6499065
K2-395 b,K2-395,2.597,70.4438684
K2-411 b,K2-411,0.9898,58.003631
K2-414 c,K2-414,1.9287,351.6361913
K2-58 b,K2-58,2.68,333.8218395
K2-59 b,K2-59,2.41,338.94255
K2-60 b,K2-60,7.655747,338.6062312
K2-63 b,K2-63,3.22,333.4267738
K2-72 e,K2-72,1.29,334.6227504
K2-80 b,K2-80,2.01,59.037486
K2-83 b,K2-83,1.244,59.9013782
K2-89 b,K2-89,0.615,57.0671234
K2-95 b,K2-95,3.31,129.3625717
KELT-12 b,KELT-12,19.95202,267.6404906
KELT-14 b,KELT-14,19.537287,108.301409
KELT-15 b,KELT-15,19.50366,117.4149764
KELT-2 A b,KELT-2 A,15.13215,92.6640226
KELT-20 b,KELT-20,19.514869,294.6614126
KELT-24 b,KELT-24,12.71098411,161.9090273
KELT-4 A b,KELT-4 A,19.044091,157.06262
KELT-6 c,KELT-6,13.0,195.9818362
KMT-2016-BLG-0212L b,KMT-2016-BLG-0212L,12.2,268.43925
KMT-2016-BLG-1820L b,KMT-2016-BLG-1820L,12.9,268.76474
KMT-2016-BLG-2142L b,KMT-2016-BLG-2142L,12.2,268.112
KMT-2016-BLG-2321L b,KMT-2016-BLG-2321L,13.8,264.0579167
KMT-2017-BLG-0673L b,KMT-2017-BLG-0673L,13.0,264.7570417
KMT-2017-BLG-1057L b,KMT-2017-BLG-1057L,5.19,265.486
KMT-2017-BLG-2197L b,KMT-2017-BLG-2197L,12.5,262.6113333
KMT-2018-BLG-0247L b,KMT-2018-BLG-0247L,13.4,264.5600417
KMT-2018-BLG-0885L b,KMT-2018-BLG-0885L,11.9,268.9663333
KMT-2019-BLG-0298L b,KMT-2019-BLG-0298L,13.4,264.878
KMT-2019-BLG-0842L b,KMT-2019-BLG-0842L,3.19,268.458458
KMT-2019-BLG-1339L b,KMT-2019-BLG-1339L,13.7,265.743417
KMT-2019-BLG-2783L b,KMT-2019-BLG-2783L,13.7,269.2919167
KMT-2021-BLG-0909L b,KMT-2021-BLG-0909L,13.7,265.6202083
KMT-2021-BLG-1105L b,KMT-2021-BLG-1105L,13.6,265.73225
KMT-2021-BLG-1391L b,KMT-2021-BLG-1391L,1.97,270.6835833
KMT-2021-BLG-2478L b,KMT-2021-BLG-2478L,13.9,269.3092083
KMT-2022-BLG-1818L b,KMT-2022-BLG-1818L,13.0,270.798625
KMT-2023-BLG-0416L b,KMT-2023-BLG-0416L,3.67,266.3240417
KMT-2023-BLG-1866L b,KMT-2023-BLG-1866L,1.43,273.48225
KMT-2024-BLG-1044L b,KMT-2024-BLG-1044L,2.7,271.564
KMT-2024-BLG-2059L b,KMT-2024-BLG-2059L,2.54,270.92975
KOI-1783.01,KOI-1783,8.86,289.3414629
KOI-2513.01,KOI-2513,2.80224517,293.6688776
KOI-94 c,KOI-94,4.32,297.3330716
Kepler-10 c,Kepler-10,2.355,285.679298
Kepler-1001 c,Kepler-1001,1.57799279,286.2739151
Kepler-1003 b,Kepler-1003,1.78,292.0204349
Kepler-1005 b,Kepler-1005,1.5,286.2858998
Kepler-1029 b,Kepler-1029,1.26,292.1328738
Kepler-103 b,Kepler-103,3.4857,288.9845512
Kepler-104 c,Kepler-104,3.13,287.6046621
Kepler-104 d,Kepler-104,3.58,287.6046621
Kepler-1042 b,Kepler-1042,2.19,288.6689428
Kepler-106 c,Kepler-106,2.5,300.864006
Kepler-1067 b,Kepler-1067,0.8,285.3873706
Kepler-1067 c,Kepler-1067,1.74682428,285.3873706
Kepler-107 c,Kepler-107,1.597,297.028162
Kepler-1073 c,Kepler-1073,1.64,294.1527259
Kepler-1078 b,Kepler-1078,1.9,293.2005664
Kepler-108 b,Kepler-108,8.65,294.5589885
Kepler-1084 b,Kepler-1084,1.11,290.1019809
Kepler-1085 b,Kepler-1085,7.22,287.4776359
Kepler-1118 b,Kepler-1118,2.74,299.9656619
Kepler-112 c,Kepler-112,2.4,296.9811361
Kepler-1128 b,Kepler-1128,3.65,293.063315
Kepler-1130 b,Kepler-1130,0.8,285.207421
Kepler-1130 d,Kepler-1130,0.64472273,285.207421
Kepler-1133 b,Kepler-1133,1.97,293.3224114
Kepler-1136 b,Kepler-1136,1.64,284.1078441
Kepler-1143 c,Kepler-1143,3.6,287.302772
Kepler-1146 b,Kepler-1146,1.23,286.716712
Kepler-1148 b,Kepler-1148,1.69,290.9536059
Kepler-1154 c,Kepler-1154,2.36,297.4771158
Kepler-1165 b,Kepler-1165,1.55,286.9712284
Kepler-1166 b,Kepler-1166,1.69,290.3484956
Kepler-1170 b,Kepler-1170,2.41,292.1685422
Kepler-1173 b,Kepler-1173,0.89,293.1311803
Kepler-1183 b,Kepler-1183,2.82,292.2324228
Kepler-1184 b,Kepler-1184,2.68,291.282031
Kepler-1185 b,Kepler-1185,1.33,287.2411783
Kepler-1187 b,Kepler-1187,2.61,286.8919996
Kepler-1199 b,Kepler-1199,1.15,293.7258092
Kepler-12 b,Kepler-12,19.660586,286.2434458
Kepler-1209 b,Kepler-1209,1.51,287.5849352
Kepler-121 b,Kepler-121,2.34,286.1621273
Kepler-122 b,Kepler-122,2.34,291.1118647
Kepler-122 d,Kepler-122,2.2,291.1118647
Kepler-1220 b,Kepler-1220,1.52,297.070398
Kepler-1227 b,Kepler-1227,2.29,287.0664109
Kepler-1246 b,Kepler-1246,1.36,287.6572346
Kepler-1255 b,Kepler-1255,2.32,295.2392569
Kepler-126 b,Kepler-126,1.52,289.3473634
Kepler-126 d,Kepler-126,2.5,289.3473634
Kepler-1267 b,Kepler-1267,3.01,299.1695093
Kepler-128 b,Kepler-128,1.421,282.4922622
Kepler-130 d,Kepler-130,1.64,288.4505905
Kepler-1310 b,Kepler-1310,1.44,283.9200236
Kepler-1311 c,Kepler-1311,1.22,289.6512597
Kepler-1317 b,Kepler-1317,1.56,291.6118842
Kepler-1329 b,Kepler-1329,2.17,281.6476437
Kepler-133 c,Kepler-133,2.84,297.2778906
Kepler-1338 b,Kepler-1338,0.92,284.0422701
Kepler-1340 b,Kepler-1340,1.55,296.2328099
Kepler-135 b,Kepler-135,1.81,290.4950939
Kepler-1362 b,Kepler-1362,2.6,288.5385574
Kepler-138 d,Kepler-138,1.51,290.3814122
Kepler-1382 b,Kepler-1382,1.88,295.3774182
Kepler-139 f,Kepler-139,6.67,282.3919451
Kepler-1392 b,Kepler-1392,1.96,288.7669819
Kepler-1398 c,Kepler-1398,1.03,294.8661073
Kepler-1407 b,Kepler-1407,2.25,283.9424274
Kepler-1423 b,Kepler-1423,1.06,288.2437481
Kepler-1430 b,Kepler-1430,1.18,289.6975391
Kepler-1431 b,Kepler-1431,1.47,292.6583919
Kepler-1434 b,Kepler-1434,1.11,295.5384415
Kepler-144 c,Kepler-144,1.35,281.9156128
Kepler-1446 b,Kepler-1446,0.82,289.4240357
Kepler-1455 b,Kepler-1455,2.16,294.0830662
Kepler-1461 b,Kepler-1461,2.03,285.8305091
Kepler-147 b,Kepler-147,1.53,287.9757213
Kepler-147 c,Kepler-147,2.43,287.9757213
Kepler-1478 b,Kepler-1478,1.73,293.1650085
Kepler-1484 b,Kepler-1484,2.11,292.6842738
Kepler-1488 b,Kepler-1488,1.86,286.6464265
Kepler-1489 b,Kepler-1489,1.77,281.2957984
Kepler-1497 b,Kepler-1497,1.66,296.196155
Kepler-150 e,Kepler-150,3.12,288.2341025
Kepler-1508 b,Kepler-1508,1.33,298.1188802
Kepler-1509 b,Kepler-1509,1.85,283.7977792
Kepler-1513 b,Kepler-1513,8.594,289.7917561
Kepler-1514 b,Kepler-1514,12.419572,292.6274943
Kepler-1516 b,Kepler-1516,1.75,291.4945795
Kepler-153 b,Kepler-153,2.92,282.460502
Kepler-1539 b,Kepler-1539,2.7,284.2194566
Kepler-1540 b,Kepler-1540,2.49,283.3445555
Kepler-1542 e,Kepler-1542,0.76,285.7284757
Kepler-1547 b,Kepler-1547,0.9,283.7640396
Kepler-1549 b,Kepler-1549,2.57,286.0524399
Kepler-1553 b,Kepler-1553,1.15,291.9191348
Kepler-1554 b,Kepler-1554,2.9,286.576016
Kepler-156 c,Kepler-156,2.55,290.2964214
Kepler-1560 b,Kepler-1560,0.89,292.7846013
Kepler-1564 b,Kepler-1564,1.47,290.5861316
Kepler-1570 b,Kepler-1570,1.07,299.8617842
Kepler-1574 b,Kepler-1574,1.29,292.1586689
Kepler-158 b,Kepler-158,2.12,284.0323723
Kepler-1582 b,Kepler-1582,1.49,289.3765441
Kepler-1587 b,Kepler-1587,1.33,292.6777294
Kepler-1598 b,Kepler-1598,0.95,288.469107
Kepler-1599 b,Kepler-1599,1.62,286.2208685
Kepler-16 b,Kepler-16,8.4493,289.0758307
Kepler-1610 c,Kepler-1610,2.09,295.9049795
Kepler-1614 b,Kepler-1614,1.49,284.8713893
Kepler-1625 b,Kepler-1625,6.06,295.429322
Kepler-1636 b,Kepler-1636,3.23,294.0575681
Kepler-164 e,Kepler-164,4.24,287.7808115
Kepler-1656 c,Kepler-1656,14.0,284.4722473
Kepler-1665 b,Kepler-1665,2.83910787,290.39624
Kepler-167 d,Kepler-167,1.238,292.6585253
Kepler-1671 b,Kepler-1671,1.32557381,291.7484295
Kepler-168 c,Kepler-168,2.69,294.7101832
Kepler-1681 b,Kepler-1681,2.55321772,296.6972773
Kepler-1700 b,Kepler-1700,2.90129941,286.9497376
Kepler-1704 b,Kepler-1704,11.94877343,291.2012559
Kepler-1715 b,Kepler-1715,4.14042267,293.9297337
Kepler-174 d,Kepler-174,2.19,287.4389454
Kepler-1754 b,Kepler-1754,2.43996509,295.4570818
Kepler-1760 b,Kepler-1760,2.28995546,284.1326058
Kepler-1771 b,Kepler-1771,4.05537256,292.0134714
Kepler-1772 b,Kepler-1772,2.68609988,289.4381201
Kepler-1773 b,Kepler-1773,3.50469499,286.2232284
Kepler-1779 b,Kepler-1779,3.03295685,300.4174607
Kepler-1789 b,Kepler-1789,2.83137505,282.8631419
Kepler-1805 b,Kepler-1805,1.54502915,285.0865387
Kepler-1807 b,Kepler-1807,2.70393215,291.5494119
Kepler-1814 c,Kepler-1814,1.76,285.2166767
Kepler-1838 b,Kepler-1838,1.66049425,298.9917165
Kepler-1843 b,Kepler-1843,2.70909809,292.8852302
Kepler-1845 b,Kepler-1845,2.43836702,292.9016226
Kepler-189 c,Kepler-189,2.38,287.5646296
Kepler-1897 b,Kepler-1897,2.81407954,294.2901043
Kepler-192 b,Kepler-192,2.74,287.9179379
Kepler-1922 b,Kepler-1922,2.29064904,292.3303706
Kepler-1923 b,Kepler-1923,1.95958179,298.0834457
Kepler-1925 b,Kepler-1925,3.00177922,289.8287452
Kepler-1930 b,Kepler-1930,1.52955541,297.577145
Kepler-1933 b,Kepler-1933,1.17984089,283.995085
Kepler-1934 b,Kepler-1934,0.91307734,290.9193265
Kepler-1937 b,Kepler-1937,3.0229133,290.6583922
Kepler-1949 b,Kepler-1949,2.21964541,293.5422586
Kepler-1957 b,Kepler-1957,0.94374867,293.711436
Kepler-1961 b,Kepler-1961,1.6187808,286.3300783
Kepler-1964 b,Kepler-1964,1.7810587,297.0588033
Kepler-1982 b,Kepler-1982,0.77,287.4099905
Kepler-1987 b,Kepler-1987,1.23,295.8254663
Kepler-1994 b,Kepler-1994,0.51,297.1487941
Kepler-20 b,Kepler-20,1.773,287.6979913
Kepler-20 c,Kepler-20,2.894,287.6979913
Kepler-20 e,Kepler-20,0.821,287.6979913
Kepler-2001 c,Kepler-2001,1.82,291.6594558
Kepler-202 c,Kepler-202,1.85,282.9734874
Kepler-203 c,Kepler-203,2.47,297.089959
Kepler-205 b,Kepler-205,1.51,285.2866912
Kepler-208 c,Kepler-208,1.39,293.8901979
Kepler-209 b,Kepler-209,2.26,291.1694567
Kepler-210 c,Kepler-210,3.62,292.5034196
Kepler-211 c,Kepler-211,1.29,285.4391183
Kepler-213 c,Kepler-213,2.34,290.8241931
Kepler-219 c,Kepler-219,3.58,288.7389481
Kepler-220 d,Kepler-220,0.98,291.5060432
Kepler-220 e,Kepler-220,1.33,291.5060432
Kepler-235 e,Kepler-235,2.22,286.0790779
Kepler-237 b,Kepler-237,1.41,283.2213438
Kepler-237 c,Kepler-237,2.08,283.2213438
Kepler-244 c,Kepler-244,2.05,287.242641
Kepler-245 d,Kepler-245,3.03,291.6389972
Kepler-246 c,Kepler-246,1.5,296.4834007
Kepler-249 b,Kepler-249,1.09,296.9853002
Kepler-25 b,Kepler-25,2.748,286.6383905
Kepler-250 c,Kepler-250,2.28,289.5947633
Kepler-251 c,Kepler-251,2.77,296.5662171
Kepler-253 d,Kepler-253,3.17,291.8419337
Kepler-255 b,Kepler-255,1.55,296.0642702
Kepler-257 b,Kepler-257,2.61,297.3159994
Kepler-262 b,Kepler-262,1.36,290.7287168
Kepler-265 e,Kepler-265,2.59,290.5104788
Kepler-266 b,Kepler-266,2.48,294.4843821
Kepler-266 c,Kepler-266,3.89,294.4843821
Kepler-268 c,Kepler-268,3.38,291.9761559
Kepler-271 c,Kepler-271,0.95,283.0029316
Kepler-275 b,Kepler-275,2.34,292.4797004
Kepler-276 d,Kepler-276,2.8,293.568197
Kepler-279 c,Kepler-279,4.3,287.391295
Kepler-281 b,Kepler-281,2.82,294.1081465
Kepler-282 d,Kepler-282,2.46,284.6772402
Kepler-299 c,Kepler-299,2.65,283.2070156
Kepler-299 e,Kepler-299,1.87,283.2070156
Kepler-301 d,Kepler-301,1.75,283.982904
Kepler-302 b,Kepler-302,4.06,294.3169307
Kepler-304 e,Kepler-304,1.2,294.4418031
Kepler-305 c,Kepler-305,3.3,299.2242557
Kepler-306 b,Kepler-306,1.52,288.5387145
Kepler-306 d,Kepler-306,2.47,288.5387145
Kepler-310 b,Kepler-310,1.19,288.839278
Kepler-311 c,Kepler-311,1.43,282.0612731
Kepler-312 b,Kepler-312,1.29,298.3957687
Kepler-32 c,Kepler-32,2.0,297.8423073
Kepler-320 b,Kepler-320,1.14,293.2135155
Kepler-324 b,Kepler-324,1.14,286.4714473
Kepler-325 c,Kepler-325,2.54,289.8354219
Kepler-326 c,Kepler-326,1.4,294.3255898
Kepler-330 c,Kepler-330,1.95,288.4474035
Kepler-338 b,Kepler-338,2.44,282.9790593
Kepler-339 d,Kepler-339,1.17,293.351701
Kepler-344 b,Kepler-344,2.61,292.4996101
Kepler-346 b,Kepler-346,2.66,288.0119248
Kepler-35 b,Kepler-35,8.16,294.496955
Kepler-351 b,Kepler-351,3.06,286.4527949
Kepler-353 c,Kepler-353,1.38,296.8565596
Kepler-354 b,Kepler-354,1.84,285.7515347
Kepler-361 b,Kepler-361,1.45,296.8034146
Kepler-362 b,Kepler-362,0.88,291.771603
Kepler-363 d,Kepler-363,2.05,283.1920779
Kepler-366 b,Kepler-366,1.46,296.8520316
Kepler-372 b,Kepler-372,1.36,291.2562253
Kepler-372 c,Kepler-372,2.09,291.2562253
Kepler-372 d,Kepler-372,1.69,291.2562253
Kepler-378 c,Kepler-378,0.7,294.9489697
Kepler-381 d,Kepler-381,1.0667865,285.1828685
Kepler-383 c,Kepler-383,1.24,291.3426078
Kepler-39 b,Kepler-39,13.9,296.9603348
Kepler-393 c,Kepler-393,1.33,290.995205
Kepler-402 e,Kepler-402,1.46,288.3701976
Kepler-405 b,Kepler-405,2.08,291.4094615
Kepler-407 c,Kepler-407,12.3,286.0363025
Kepler-411 e,Kepler-411,3.28,287.6057027
Kepler-412 b,Kepler-412,15.031269,286.1103053
Kepler-413 b,Kepler-413,4.347,288.5106679
Kepler-415 b,Kepler-415,1.21,293.8045041
Kepler-416 c,Kepler-416,2.352,291.5569554
Kepler-417 b,Kepler-417,2.31,293.8241813
Kepler-418 b,Kepler-418,13.45,294.4335228
Kepler-418 c,Kepler-418,5.22108654,294.4335228
Kepler-42 d,Kepler-42,0.57,292.2196
Kepler-425 b,Kepler-425,10.962,290.3579781
Kepler-430 c,Kepler-430,1.75,292.8085984
Kepler-433 b,Kepler-433,16.25,297.5936232
Kepler-437 b,Kepler-437,2.14,297.3473326
Kepler-444 d,Kepler-444,0.53,289.7528323
Kepler-446 b,Kepler-446,1.5,282.2501047
Kepler-450 b,Kepler-450,6.14,295.4865821
Kepler-451 c,2MASS J19383260+4603591,13.5,294.6359173
Kepler-457 d,KOI-7892,2.98467257,282.3775397
Kepler-46 b,Kepler-46,9.057,289.2687388
Kepler-471 b,Kepler-471,14.96,299.0975167
Kepler-487 d,Kepler-487,2.77513568,295.2872318
Kepler-495 b,Kepler-495,5.23,285.9307362
Kepler-502 b,Kepler-502,4.77,291.080133
Kepler-510 b,Kepler-510,2.47,287.6550196
Kepler-52 d,Kepler-52,1.95,286.7380152
